"State","smokingRate","obesityRate","prematureDeathRate","physicalInactivityRate","publicHealthFundingPerCapita","excessiveDrinkingRate","uninsuredResidents","primaryCarePhysicians"
"Minnesota","14.6000","30.1000","5648","0.1990","84","0.2200","0.0490","291.4000"
"California","10","26.3000","5650","0.2240","118","0.1830","0.0770","189.7000"
"New York","12.7000","27.1000","5800","0.2720","147","0.1820","0.0520","290.6000"
"Massachusetts","12","25.2000","5973","0.2640","144","0.2130","0.0300","362.8000"
"Connecticut","12.1000","29.1000","6035","0.2350","90","0.1770","0.0590","277.9000"
"Washington","12.6000","28.3000","6086","0.1920","102","0.1570","0.0660","248.4000"
"Hawaii","12.3000","25","6129","0.2440","205","0.1930","0.0420","223.5000"
"Rhode Island","13.3000","30","6174","0.2650","147","0.2010","0.0410","344.1000"
"Utah","7.9000","29.2000","6205","0.1850","81","0.1200","0.0970","187.5000"
"Colorado","13.5000","23.8000","6261","0.1870","104","0.1960","0.0800","256"
"Oregon","14.5000","29","6262","0.2390","86","0.1960","0.0720","244.4000"
"New Jersey","13.1000","27.3000","6375","0.2850","69","0.1520","0.0790","206.1000"
"Iowa","16.4000","33.9000","6610","0.2650","114","0.2250","0.0500","245.2000"
"Nebraska","14.7000","34.1000","6675","0.2690","96","0.2190","0.0830","272.5000"
"Wisconsin","15.4000","34.2000","6676","0.2320","55","0.2360","0.0570","264.5000"
"Idaho","15.3000","29.5000","6788","0.2380","150","0.1870","0.1080","211.4000"
"New Hampshire","15.9000","31.8000","6819","0.2170","87","0.1860","0.0630","303.2000"
"Vermont","15.1000","26.6000","6844","0.2000","157","0.2100","0.0450","395.3000"
"Virginia","14","31.9000","6863","0.2530","80","0.1660","0.0790","230.3000"
"North Dakota","17","34.8000","6899","0.2800","123","0.2330","0.0690","302.6000"
"Texas","14.7000","34","7126","0.2720","59","0.1930","0.1840","191.7000"
"Illinois","14.5000","31.6000","7178","0.2560","79","0.2160","0.0740","249.6000"
"Maine","17.6000","31.7000","7205","0.3010","109","0.1990","0.0800","330.8000"
"Montana","16.6000","28.3000","7372","0.1970","125","0.2270","0.0830","261.5000"
"South Dakota","18.3000","33","7400","0.3000","112","0.2260","0.1020","279.3000"
"Arizona","14.9000","31.4000","7527","0.2410","57","0.1650","0.1130","214.9000"
"Maryland","12.7000","32.3000","7541","0.2340","108","0.1510","0.0600","263.8000"
"Florida","14.8000","27","7557","0.2650","65","0.1800","0.1320","252"
"Wyoming","18.4000","29.7000","7570","0.2460","112","0.1900","0.1230","221.3000"
"Kansas","16.2000","35.2000","7668","0.2710","64","0.1870","0.0920","255.1000"
"Nevada","15.7000","30.6000","7722","0.2580","50","0.1840","0.1140","182.8000"
"Pennsylvania","17.3000","33.2000","7807","0.2560","61","0.1800","0.0580","281.8000"
"Alaska","17.4000","30.5000","7978","0.2170","289","0.1820","0.1220","321.1000"
"Michigan","18.7000","36","8071","0.2540","60","0.1910","0.0580","278.8000"
"North Carolina","18.5000","34","8072","0.2630","61","0.1540","0.1130","253.2000"
"Georgia","16.3000","33.1000","8151","0.2790","83","0.1710","0.1340","222.4000"
"Delaware","15.9000","34.4000","8289","0.2660","111","0.1890","0.0660","287.5000"
"Indiana","19.2000","35.3000","8693","0.3090","55","0.1650","0.0870","231.9000"
"Ohio","20.8000","34.8000","8857","0.2830","57","0.1870","0.0660","261.8000"
"Missouri","19.6000","34.8000","9112","0.3060","61","0.1810","0.1000","259.4000"
"New Mexico","16","31.7000","9262","0.2540","226","0.1630","0.1000","247.9000"
"South Carolina","17.5000","35.4000","9319","0.2880","84","0.2010","0.1080","226.2000"
"Oklahoma","18.9000","36.8000","9708","0.3400","95","0.1370","0.1430","212.4000"
"Arkansas","20.2000","37.4000","9890","0.3120","109","0.1490","0.0910","206"
"Tennessee","19.9000","36.5000","9981","0.3010","100","0.1580","0.1010","268.5000"
"Louisiana","21.9000","35.9000","10028","0.3190","94","0.2080","0.0890","217.2000"
"Kentucky","23.6000","36.5000","10082","0.3280","91","0.1680","0.0640","270.1000"
"Alabama","20.2000","36.1000","10421","0.3150","116","0.1360","0.0970","203.5000"
"Mississippi","20.4000","40.8000","11011","0.3770","87","0.1460","0.1300","232.3000"
"West Virginia","23.8000","39.7000","11338","0.3120","147","0.1320","0.0670","282.7000"
